"","minlatedeparted","scheddeplocal"
"175",-23,"17/03/2019 7:20"
"176",-8,"17/03/2019 13:30"
"177",-18,"17/03/2019 11:20"
"178",-16,"17/03/2019 17:40"
"179",-3,"17/03/2019 5:50"
"180",60,"17/03/2019 13:45"
"181",-20,"17/03/2019 7:30"
"182",-8,"17/03/2019 16:25"
"183",-7,"17/03/2019 5:45"
"184",-14,"17/03/2019 15:55"
"185",2,"17/03/2019 20:40"
"186",-1,"17/03/2019 21:45"
"187",-4,"17/03/2019 8:00"
"188",-1,"17/03/2019 16:50"
"189",87,"17/03/2019 9:55"
"190",187,"17/03/2019 20:00"
"191",-5,"17/03/2019 6:00"
"192",10,"17/03/2019 17:25"
"193",132,"17/03/2019 18:05"
"194",110,"17/03/2019 19:30"
"195",82,"17/03/2019 21:40"
"196",-14,"17/03/2019 10:40"
"197",10,"17/03/2019 15:50"
"198",-19,"17/03/2019 9:10"
"199",-12,"17/03/2019 12:55"
"200",-4,"17/03/2019 0:05"
"201",-23,"17/03/2019 17:10"
"202",-1,"17/03/2019 7:10"
"203",-8,"17/03/2019 17:15"
"204",43,"17/03/2019 10:45"
"205",2,"17/03/2019 16:50"
"206",0,"17/03/2019 6:40"
"207",5,"08/06/2018 12:55"
"208",19,"28/08/2018 12:55"
"209",27,"28/08/2018 22:40"
"210",-8,"04/08/2018 7:40"
"211",-11,"04/08/2018 14:50"
"212",-7,"04/08/2018 23:15"
"213",-13,"04/08/2018 12:25"
"214",29,"04/08/2018 18:55"
"215",-5,"04/08/2018 18:25"
"216",-2,"04/08/2018 4:05"
"217",29,"04/08/2018 14:15"
"218",117,"04/08/2018 17:55"
"219",25,"04/08/2018 6:40"
"220",-8,"04/08/2018 4:20"
"221",-8,"04/08/2018 11:50"
"222",57,"04/08/2018 16:15"
"223",130,"04/08/2018 17:30"
"224",-2,"04/08/2018 7:20"
"225",-8,"04/08/2018 13:40"
"226",5,"04/08/2018 11:10"
"227",135,"04/08/2018 17:45"
"228",46,"04/08/2018 9:50"
"229",9,"04/08/2018 5:55"
"230",-11,"04/08/2018 13:50"
"231",20,"04/08/2018 10:55"
"232",-18,"04/08/2018 8:55"
